"cc","autocorr_coef","mean","stdev","skewness","kurtosis","mean_ar","var_ar","skewness_ar","kurtosis_ar","pop"
"PRY_R",0.535425681034905,-6.04135482261156e-19,0.00963921852939898,-0.572204184166267,4.42081290836514,-0.000163981397985892,0.000119805531085008,-0.420367818240376,3.83390956911111,5328.931134
"SWE_R",0.535303000381592,-5.61123436329395e-19,0.00963852864755319,-0.57251150934922,4.42141800243804,-0.000308980326904193,0.000125312087272784,-0.459801211400193,4.02494403796406,5325.939391
"ZAF_R",0.534621986906294,-8.07265468205243e-19,0.0096348001239611,-0.572727608481176,4.42530192905593,-5.23197805013014e-05,0.000127407404167299,-0.402862898050692,3.74911201111487,5277.4175
"BOL_R",0.535350212469191,-3.36573566363217e-19,0.00963887248508507,-0.572189618375814,4.4208826218202,0.00017960822810566,0.000125816165484166,-0.428191475006591,3.94027417738418,5324.46267
"CYP_R",0.535450581470952,-2.99282581948081e-19,0.00964039257063674,-0.571631843049606,4.42078416285236,0.000141115018080231,0.000127765534788342,-0.402375488884637,3.90324076827972,5335.107275
"FIN_R",0.535267435494271,-3.98751527287935e-19,0.00963829080200984,-0.572099924903939,4.42157619051564,0.000402014539548551,0.000125296112266337,-0.404139621399478,3.95099137880467,5330.443614
"IND_R",0.52295511617114,-7.7097225988899e-19,0.00960614642561592,-0.497730981569311,4.33688884956577,6.34897502006183e-05,0.000118890871487464,-0.389996582878131,3.96156966842407,3969.558016
"KOR_R",0.534408478095032,-6.76499373288873e-19,0.0096335133592962,-0.573335296757496,4.42703799863977,0.000247957621601938,0.000125523451504894,-0.358078500727227,3.82383980362855,5284.750462
"NOR_R",0.535359680588973,-1.76857608088572e-19,0.00963883804778273,-0.57232275683811,4.42143277588448,-0.000107464317876442,0.000123571555178267,-0.461695700049172,3.92441472911271,5330.596913
"QAT_R",0.531453706150873,7.90324809260157e-20,0.00998925696017418,-0.586184660624051,4.72683472871299,0.00032459801967098,0.000134633908443119,-0.421074495325556,4.09563781603392,5333.143703
"THA_R",0.534942087403261,-6.28441020900165e-19,0.00963747209895996,-0.571036303643142,4.42091616043516,0.000188670947079663,0.000122617190590688,-0.432092231154214,3.80452057423126,5266.350188
"AGO_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,-0.00028594407173041,0.00030659094481622,-0.490746853202345,3.61318079539569,83.517045
"BRA_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,-0.000105275473278923,0.000296204643720089,-0.483721675534104,3.84288890554397,83.517045
"CZE_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,0.00017356572816329,0.000294912373334487,-0.520561088116213,3.91819074486059,83.517045
"FRA_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,0.000462866336812339,0.000291279980478426,-0.460405319085723,3.76520546509634,83.517045
"IRL_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,0.000127040231326962,0.0002849979172511,-0.483710167127612,3.88319031555816,83.517045
"LUX_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,0.000141193741643624,0.000301661268571929,-0.517496252190673,3.85186830241887,83.517045
"NZL_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,0.000313533764663721,0.000298940315379649,-0.516665434672152,3.87839674956245,83.517045
"ROU_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,0.000369405359148623,0.000300570176742674,-0.507005552174787,3.77596717934302,83.517045
"TUN_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,-0.000574263779653829,0.000307846903195717,-0.5121459641279,3.7463436080809,83.517045
"ARG_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,-0.000527312316326439,0.000312897540414275,-0.495634924682007,3.90288573448078,83.517045
"CAN_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,0.000307618673902893,0.000286773869424052,-0.497553100519969,3.79088364766732,83.517045
"DEU_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,-0.000109908557852264,0.000301280798214959,-0.465068852755709,3.71235894668103,83.517045
"GBR_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,0.000213341291975513,0.000299678663600485,-0.499332890484081,3.84976637176393,83.517045
"IRN_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,-0.000204520768051662,0.000288902254468812,-0.453962088775376,3.83129191071354,83.517045
"MEX_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,0.000169022242280819,0.000304507054406636,-0.478747489922623,3.75015932827996,83.517045
"PER_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,-3.90943039585409e-05,0.000297706032012039,-0.48988536653943,3.71459357355283,83.517045
"SAU_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,-0.000441332353209589,0.000311618748235359,-0.453654618566564,3.65051095288282,83.517045
"TUR_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,-0.000580165272456292,0.000296741967392918,-0.433667878716021,3.64201482784421,83.517045
"AUS_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,0.000312858358924042,0.000293870841174342,-0.519207177425427,3.78125247881751,83.517045
"CHE_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,-5.12475720428176e-05,0.000298454389863441,-0.529673394266725,3.86534223128177,83.517045
"DNK_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,3.72248253340006e-06,0.000300603665414834,-0.493835388722982,3.74146007418662,83.517045
"GRC_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,0.000203993812372743,0.000301490287534756,-0.512483122960942,3.82524405603696,83.517045
"ISL_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,0.000708449436177313,0.000285478811584455,-0.422821696242707,3.66058825196189,83.517045
"MLT_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,0.000162179365891588,0.000301263674891015,-0.530900695515404,3.90255136105719,83.517045
"PHL_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,0.000122843153783895,0.000302081449799943,-0.492568484385037,3.7500852497358,83.517045
"SGP_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,0.000305505542864813,0.000302524606031593,-0.501065824930996,3.80005470044348,83.517045
"TWN_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,0.000133924844292996,0.000300042315107732,-0.455049314483508,3.7468404868372,83.517045
"AUT_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,-0.000405683505306153,0.000308864319664925,-0.533095275326008,3.75447155508938,83.517045
"CHL_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,0.000146539648906724,0.000301047595450216,-0.45963634114431,3.62325226311216,83.517045
"EGY_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,-7.04470706672685e-05,0.00030494498810281,-0.56638362039255,3.8432417140338,83.517045
"HKG_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,-0.000155928811037375,0.000287921337627611,-0.488557238852128,3.79571248464052,83.517045
"ISR_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,-2.07145475727087e-05,0.000298095056862079,-0.509500493610308,3.75618001244109,83.517045
"MYS_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,0.000176262823435836,0.000301036083681989,-0.495557558091908,3.83908130364323,83.517045
"POL_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,-0.000581892272937728,0.000302977691056887,-0.478881248379139,3.74091289964998,83.517045
"SVK_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,0.000234833178377319,0.000286068517927496,-0.498497343652935,3.77175196691656,83.517045
"URY_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,-0.000377035420738912,0.00029308085054482,-0.470975900962711,3.75294462115718,83.517045
"BEL_D",0.442693292996967,-4.48424984872679e-19,0.0157630133199894,-0.627134151951185,4.07613857197817,-0.000395641961045124,0.000298202698705054,-0.477756082778978,3.8090299245064,83.517045
